,online,reservations,rating,votes,location,rest_type,cost_for_two,type
23918,Yes,No,4.2,58,New BEL Road,Quick Bites,250,Delivery
8156,No,No,3.1,12,Koramangala 5th Block,Quick Bites,200,Delivery
12244,Yes,No,3.6,123,HSR,Quick Bites,300,Dine-out
22097,Yes,No,4.6,4714,Koramangala 7th Block,Other,1500,Drinks & nightlife
30050,Yes,No,4.1,97,Sarjapur Road,Delivery,300,Delivery
17697,Yes,No,3.7,22,Old Airport Road,Bakery,600,Delivery
12796,Yes,No,4.0,111,MG Road,Casual Dining,1000,Delivery
9509,Yes,No,4.3,291,Residency Road,"Takeaway, Delivery",500,Delivery
10370,No,No,3.2,17,Electronic City,Delivery,400,Delivery
3628,No,No,3.7,47,Bellandur,Cafe,500,Dine-out
23452,No,No,3.6,79,Majestic,Other,350,Dine-out
6048,No,No,3.73178,0,Marathahalli,Quick Bites,350,Delivery
4793,No,No,3.73178,0,Residency Road,Other,400,Desserts
28530,Yes,No,3.0,20,Rajajinagar,Cafe,900,Cafes
21370,No,No,3.9,109,Koramangala 4th Block,Other,1500,Drinks & nightlife
1349,Yes,No,2.6,170,Bannerghatta Road,Casual Dining,600,Delivery
22526,Yes,No,3.7,32,Ulsoor,Quick Bites,400,Delivery
4730,No,No,4.5,292,Lavelle Road,Dessert Parlor,400,Desserts
24250,No,Yes,4.0,568,Malleshwaram,Casual Dining,1000,Dine-out
28174,Yes,No,4.2,1345,Jeevan Bhima Nagar,Quick Bites,500,Dine-out
24547,No,No,3.73178,0,Rajajinagar,Quick Bites,200,Dine-out
5711,Yes,No,2.8,67,Marathahalli,Quick Bites,500,Delivery
12376,Yes,No,3.73178,0,Koramangala 1st Block,Quick Bites,350,Dine-out
30102,No,Yes,4.3,1764,Sarjapur Road,Other,1500,Delivery
14886,No,No,3.7,0,JP Nagar,Cafe,600,Dine-out
28879,No,Yes,4.3,1103,Rajajinagar,Other,1650,Dine-out
24148,Yes,No,4.2,287,Malleshwaram,Other,700,Desserts
3753,No,No,3.0,26,Bellandur,Quick Bites,400,Dine-out
9405,Yes,Yes,4.4,1842,Lavelle Road,Casual Dining,1500,Delivery
895,Yes,No,3.4,76,Bannerghatta Road,Quick Bites,450,Delivery
6035,No,No,3.73178,0,"Varthur Main Road, Whitefield","Takeaway, Delivery",400,Delivery
11320,No,No,3.2,4,Frazer Town,Quick Bites,150,Dine-out
18633,Yes,No,3.9,554,Koramangala 7th Block,Quick Bites,600,Dine-out
3274,Yes,No,3.6,20,Sarjapur Road,"Takeaway, Delivery",200,Delivery
1808,No,No,3.2,7,Bannerghatta Road,Quick Bites,300,Dine-out
25449,No,Yes,4.8,7284,Marathahalli,"Casual Dining, Bar",1500,Dine-out
21160,Yes,Yes,4.5,3991,Koramangala 5th Block,Other,1600,Dine-out
18648,Yes,No,3.1,7,Ejipura,Quick Bites,300,Dine-out
4814,Yes,No,4.1,33,Cunningham Road,Dessert Parlor,400,Desserts
9254,Yes,Yes,4.4,383,Koramangala 5th Block,"Casual Dining, Bar",1500,Pubs and bars
4416,Yes,Yes,4.6,1211,St. Marks Road,"Casual Dining, Bar",1700,Delivery
29164,No,Yes,3.9,96,Basaveshwara Nagar,Other,1200,Pubs and bars
25213,Yes,No,3.0,9,Marathahalli,Quick Bites,450,Delivery
28190,Yes,No,3.2,30,Jeevan Bhima Nagar,Quick Bites,200,Dine-out
31489,Yes,No,3.73178,0,Whitefield,Dessert Parlor,400,Desserts
265,Yes,No,3.9,18,Basavanagudi,Quick Bites,200,Delivery
22772,No,No,3.73178,0,City Market,Other,150,Delivery
31712,No,No,3.5,12,Whitefield,Cafe,650,Dine-out
7161,Yes,No,4.3,245,Koramangala 5th Block,Quick Bites,600,Delivery
24590,No,No,4.1,731,Malleshwaram,Other,1500,Pubs and bars
6029,No,No,3.73178,0,"Varthur Main Road, Whitefield",Other,400,Delivery
2937,Yes,No,3.2,380,Sarjapur Road,Quick Bites,450,Delivery
12637,Yes,No,3.1,39,Indiranagar,Delivery,400,Delivery
6826,No,No,3.4,5,Whitefield,Quick Bites,500,Dine-out
21309,Yes,No,3.1,54,Koramangala 1st Block,Quick Bites,100,Dine-out
6925,No,No,3.6,61,BTM,Cafe,500,Cafes
7117,Yes,No,4.1,1022,HSR,Dessert Parlor,500,Delivery
29732,No,Yes,4.3,2240,Residency Road,Other,1700,Drinks & nightlife
7731,Yes,Yes,3.9,597,Koramangala 4th Block,Other,1200,Delivery
11597,No,No,3.3,7,HSR,Other,300,Delivery
22705,Yes,No,4.0,101,St. Marks Road,Quick Bites,150,Delivery
6865,No,No,3.9,75,Whitefield,Other,2000,Drinks & nightlife
12033,No,Yes,4.6,634,HSR,Other,850,Dine-out
2091,No,No,3.3,4,JP Nagar,Quick Bites,350,Dine-out
19217,Yes,No,3.8,36,Koramangala 1st Block,Quick Bites,300,Delivery
3884,Yes,No,3.2,204,Sarjapur Road,Casual Dining,500,Dine-out
22690,Yes,Yes,4.4,721,MG Road,Other,1700,Delivery
16675,No,No,3.7,50,Kammanahalli,Quick Bites,400,Dine-out
21634,Yes,No,4.1,240,Koramangala 5th Block,Other,400,Delivery
12480,Yes,No,4.2,1203,Indiranagar,Cafe,600,Cafes
1829,Yes,No,3.6,15,Bannerghatta Road,Casual Dining,500,Dine-out
2769,No,No,3.73178,0,Jayanagar,Quick Bites,250,Dine-out
6830,No,No,3.73178,0,"ITPL Main Road, Whitefield",Quick Bites,300,Dine-out
9315,No,Yes,4.0,1706,Church Street,Cafe,1000,Cafes
23647,Yes,No,4.2,287,Malleshwaram,Other,700,Cafes
5505,No,Yes,4.1,1327,Lavelle Road,"Casual Dining, Bar",2100,Pubs and bars
1809,No,No,2.9,31,Bannerghatta Road,Casual Dining,600,Dine-out
26262,Yes,No,3.9,215,Brigade Road,Casual Dining,800,Delivery
14682,No,No,3.0,25,Jayanagar,Quick Bites,300,Dine-out
27391,No,No,3.6,74,Jalahalli,Casual Dining,400,Dine-out
20552,No,Yes,4.4,287,BTM,Casual Dining,1300,Dine-out
28933,No,No,3.5,46,Rajajinagar,Quick Bites,300,Dine-out
13958,Yes,No,4.1,52,BTM,"Takeaway, Delivery",250,Delivery
30137,Yes,No,3.3,18,South Bangalore,Delivery,500,Delivery
8293,No,No,4.6,342,Koramangala 5th Block,Other,400,Desserts
14358,Yes,No,3.73178,0,Koramangala 5th Block,Other,100,Delivery
30431,No,No,3.9,1228,Sarjapur Road,Casual Dining,1100,Dine-out
7918,Yes,No,3.9,162,JP Nagar,Delivery,500,Delivery
17842,Yes,No,2.6,74,Bommanahalli,Casual Dining,700,Delivery
31930,No,No,3.2,4,Whitefield,Quick Bites,250,Dine-out
17444,No,Yes,4.2,815,Koramangala 6th Block,Cafe,800,Cafes
9169,No,No,3.3,4,Bommanahalli,Quick Bites,200,Dine-out
7779,Yes,No,3.4,4,Koramangala,Delivery,250,Delivery
20727,Yes,No,4.1,992,Koramangala 6th Block,Cafe,600,Cafes
15461,No,No,3.73178,0,BTM,Quick Bites,500,Delivery
12898,Yes,Yes,4.4,1507,Indiranagar,Casual Dining,1700,Delivery
23871,Yes,No,3.73178,0,Rajajinagar,Quick Bites,250,Delivery
965,Yes,No,3.8,37,Bannerghatta Road,Quick Bites,250,Delivery
26625,Yes,No,3.7,33,Ulsoor,Quick Bites,400,Dine-out
12340,No,Yes,4.6,178,Sarjapur Road,Other,1500,Dine-out
22135,No,Yes,4.5,3923,Koramangala 5th Block,Other,1000,Pubs and bars
21080,No,No,3.3,6,Koramangala 1st Block,Quick Bites,200,Delivery
28930,Yes,No,3.9,266,Rajajinagar,Other,600,Dine-out
1065,Yes,No,4.0,212,Bannerghatta Road,Quick Bites,400,Delivery
27166,Yes,No,4.1,250,New BEL Road,Dessert Parlor,500,Desserts
26682,No,No,3.7,19,Ulsoor,Quick Bites,200,Dine-out
25099,Yes,No,3.6,16,Whitefield,Dessert Parlor,300,Delivery
20031,No,No,3.0,54,BTM,"Takeaway, Delivery",300,Delivery
21815,No,No,3.9,194,JP Nagar,Casual Dining,400,Delivery
12407,Yes,No,3.1,53,Koramangala 1st Block,Quick Bites,100,Dine-out
26643,Yes,No,3.9,36,Brigade Road,Quick Bites,600,Dine-out
28232,Yes,Yes,4.6,5448,Indiranagar,Casual Dining,1600,Dine-out
4952,No,Yes,4.3,595,Infantry Road,"Casual Dining, Bar",2500,Dine-out
12759,Yes,No,4.0,106,Old Airport Road,Delivery,750,Delivery
21867,Yes,Yes,4.5,727,Koramangala 7th Block,Casual Dining,1500,Dine-out
20149,No,No,3.7,48,BTM,"Takeaway, Delivery",400,Delivery
19862,Yes,No,4.1,56,Koramangala 5th Block,Quick Bites,500,Delivery
22068,Yes,No,3.6,22,Wilson Garden,Quick Bites,350,Dine-out
18043,No,No,3.73178,0,Koramangala 1st Block,Dessert Parlor,150,Delivery
22464,Yes,No,4.0,186,Commercial Street,Quick Bites,350,Delivery
3082,Yes,No,3.6,44,Sarjapur Road,Cafe,600,Delivery
19371,Yes,No,4.6,1026,Koramangala 7th Block,Other,550,Delivery
28462,No,Yes,4.2,1096,Indiranagar,Other,1100,Drinks & nightlife
1592,No,No,3.73178,0,Bommanahalli,Casual Dining,400,Delivery
8504,Yes,Yes,3.7,49,BTM,Cafe,300,Dine-out
29978,Yes,No,4.0,201,HSR,Delivery,800,Delivery
28899,No,Yes,4.0,137,Rajajinagar,Casual Dining,700,Dine-out
8153,No,No,3.2,4,HSR,Casual Dining,700,Delivery
17,Yes,No,3.8,144,Banashankari,Cafe,700,Cafes
5712,Yes,No,3.73178,0,Whitefield,"Takeaway, Delivery",500,Delivery
11021,Yes,No,3.9,851,Frazer Town,Casual Dining,700,Delivery
31819,No,No,3.1,16,Whitefield,Quick Bites,300,Dine-out
26110,Yes,Yes,4.2,253,Indiranagar,Casual Dining,800,Delivery
15249,Yes,No,3.3,351,Jayanagar,Quick Bites,400,Delivery
28282,Yes,Yes,3.9,58,Indiranagar,Quick Bites,450,Dine-out
14754,No,No,3.5,9,Jayanagar,Quick Bites,500,Dine-out
15709,No,No,3.6,10,Bannerghatta Road,Quick Bites,150,Dine-out
25012,Yes,No,3.9,81,Marathahalli,Quick Bites,250,Delivery
12085,Yes,Yes,3.8,499,HSR,Other,700,Dine-out
2435,Yes,No,3.2,9,Jayanagar,Quick Bites,400,Delivery
14399,Yes,Yes,3.8,562,JP Nagar,Casual Dining,800,Delivery
6404,Yes,No,3.73178,0,Marathahalli,Bakery,500,Desserts
8672,No,No,4.0,40,BTM,Other,400,Dine-out
14081,Yes,No,3.8,111,Bannerghatta Road,Casual Dining,800,Delivery
22084,No,No,3.5,56,Bannerghatta Road,Quick Bites,400,Dine-out
5163,Yes,No,3.73178,0,Residency Road,Casual Dining,600,Dine-out
19011,Yes,Yes,4.4,681,Koramangala 7th Block,Casual Dining,1500,Buffet
10444,Yes,No,3.7,28,Electronic City,"Takeaway, Delivery",250,Delivery
11453,Yes,No,3.1,101,HSR,Cafe,650,Cafes
1493,No,No,3.73178,0,JP Nagar,Delivery,200,Delivery
2008,Yes,Yes,3.8,756,JP Nagar,Casual Dining,1000,Dine-out
31461,No,No,3.9,58,Whitefield,Other,400,Desserts
11624,No,No,3.73178,0,HSR,"Takeaway, Delivery",250,Delivery
23553,No,No,4.5,1598,Brigade Road,"Casual Dining, Bar",1500,Drinks & nightlife
6933,Yes,No,4.1,60,Koramangala 2nd Block,Cafe,600,Cafes
31110,Yes,No,3.1,186,Whitefield,Other,600,Delivery
29607,Yes,Yes,4.3,1055,Lavelle Road,Casual Dining,1600,Dine-out
28442,No,No,3.2,8,Thippasandra,"Casual Dining, Bar",600,Drinks & nightlife
14770,Yes,No,3.7,97,Jayanagar,Quick Bites,350,Dine-out
6120,Yes,No,3.7,205,Marathahalli,Quick Bites,350,Delivery
20036,No,No,2.9,23,BTM,"Takeaway, Delivery",300,Delivery
13317,Yes,Yes,4.3,367,Indiranagar,Casual Dining,1200,Dine-out
9857,Yes,No,4.1,153,Vasanth Nagar,Cafe,300,Dine-out
13982,Yes,No,4.2,67,Basavanagudi,Quick Bites,500,Delivery
2269,Yes,No,3.0,73,Shanti Nagar,Casual Dining,500,Delivery
25402,No,No,2.8,34,Marathahalli,Other,500,Desserts
21554,Yes,Yes,4.4,211,Koramangala 5th Block,Cafe,800,Delivery
17579,Yes,Yes,4.3,548,Koramangala 5th Block,Other,1000,Delivery
1801,Yes,No,2.6,170,Bannerghatta Road,Casual Dining,600,Dine-out
24555,Yes,No,3.73178,0,Yeshwantpur,Quick Bites,400,Dine-out
6899,No,No,3.7,202,JP Nagar,Casual Dining,900,Buffet
20156,No,No,3.1,7,BTM,Quick Bites,300,Delivery
7417,Yes,No,3.9,116,HSR,Casual Dining,900,Delivery
27062,No,No,3.9,523,New BEL Road,Other,1100,Delivery
10612,Yes,No,3.0,291,Electronic City,Casual Dining,550,Dine-out
7475,Yes,No,3.6,14,BTM,Quick Bites,400,Delivery
28534,No,No,3.3,31,Basaveshwara Nagar,Other,300,Cafes
28057,No,No,3.73178,0,Indiranagar,Other,300,Desserts
12785,Yes,No,4.0,277,Jeevan Bhima Nagar,Casual Dining,700,Delivery
1303,Yes,No,3.6,70,BTM,Quick Bites,350,Delivery
22573,Yes,No,4.1,33,Cunningham Road,Dessert Parlor,400,Delivery
9648,Yes,Yes,4.0,933,Church Street,"Casual Dining, Bar",1000,Dine-out
12681,Yes,No,4.1,128,Jeevan Bhima Nagar,Other,250,Delivery
14194,Yes,No,3.0,23,Basavanagudi,Quick Bites,250,Delivery
2734,Yes,No,4.1,139,Jayanagar,Casual Dining,550,Dine-out
27563,Yes,Yes,4.0,1137,Indiranagar,Casual Dining,1000,Delivery
31387,No,No,4.0,69,Whitefield,Casual Dining,600,Delivery
9986,Yes,Yes,4.4,488,St. Marks Road,Other,1900,Pubs and bars
25878,Yes,Yes,3.7,692,Brookefield,Casual Dining,750,Dine-out
2546,No,No,3.73178,0,Jayanagar,Bakery,400,Desserts
22710,No,No,3.8,30,Cunningham Road,Other,400,Delivery
16976,Yes,Yes,4.2,884,Kammanahalli,Cafe,800,Dine-out
16674,Yes,Yes,4.1,229,Kammanahalli,Casual Dining,550,Dine-out
8337,No,No,4.1,324,Koramangala 7th Block,Cafe,700,Desserts
31548,No,No,3.9,51,Whitefield,Casual Dining,2000,Dine-out
4560,No,Yes,4.1,473,Shanti Nagar,Casual Dining,800,Delivery
2195,Yes,No,3.8,74,Wilson Garden,Casual Dining,1000,Buffet
13867,No,Yes,4.2,2901,Indiranagar,Other,1300,Pubs and bars
26260,Yes,No,4.0,871,Lavelle Road,Quick Bites,400,Delivery
1703,Yes,No,3.9,239,JP Nagar,Dessert Parlor,500,Desserts
28396,No,No,3.6,22,Domlur,Casual Dining,600,Dine-out
19602,Yes,No,3.6,24,BTM,"Takeaway, Delivery",400,Delivery
1290,Yes,No,3.8,27,BTM,Quick Bites,400,Delivery
28234,No,Yes,4.6,4453,Indiranagar,Casual Dining,1500,Dine-out
30492,No,No,3.2,41,Sarjapur Road,Casual Dining,550,Dine-out
9020,Yes,No,3.4,34,Koramangala 7th Block,Casual Dining,650,Dine-out
27359,No,No,2.9,28,New BEL Road,Quick Bites,150,Dine-out
9116,Yes,No,3.8,75,Jayanagar,Quick Bites,300,Dine-out
28689,Yes,Yes,3.1,405,Basaveshwara Nagar,"Casual Dining, Bar",800,Delivery
23637,Yes,Yes,4.3,355,Basaveshwara Nagar,Other,600,Buffet
5393,Yes,No,2.9,56,Cunningham Road,Quick Bites,150,Dine-out
16771,No,No,3.3,7,Kammanahalli,Quick Bites,300,Dine-out
4678,Yes,No,3.2,4,Shivajinagar,Quick Bites,200,Delivery
24823,No,No,3.9,63,Marathahalli,Casual Dining,1000,Delivery
25672,Yes,No,2.9,5,Marathahalli,Quick Bites,600,Dine-out
14965,No,No,4.0,38,JP Nagar,Quick Bites,200,Dine-out
10823,Yes,No,3.73178,0,Electronic City,Quick Bites,400,Dine-out
5252,Yes,No,3.8,41,Ulsoor,Quick Bites,250,Dine-out
10761,Yes,No,3.4,275,Electronic City,Quick Bites,450,Dine-out
24133,Yes,No,3.8,30,Yeshwantpur,Cafe,400,Delivery
29685,No,No,4.3,167,Ulsoor,Cafe,750,Dine-out
396,Yes,No,3.7,59,Banashankari,Quick Bites,200,Delivery
12010,Yes,No,3.5,18,HSR,Bakery,400,Desserts
7785,Yes,No,3.9,201,BTM,Quick Bites,300,Delivery
13143,Yes,No,4.7,2139,Indiranagar,Dessert Parlor,400,Desserts
8575,No,No,3.8,110,BTM,Quick Bites,200,Dine-out
24655,No,No,3.73178,0,Marathahalli,Other,600,Cafes
19639,Yes,No,4.2,249,BTM,Other,500,Delivery
26621,No,Yes,3.8,110,Ulsoor,Other,1400,Dine-out
4110,Yes,No,3.2,40,Lavelle Road,Other,400,Delivery
19828,Yes,No,3.0,11,BTM,Quick Bites,200,Delivery
10261,Yes,No,3.73178,0,Electronic City,"Takeaway, Delivery",300,Delivery
14702,Yes,No,3.7,330,Jayanagar,Casual Dining,850,Dine-out
29576,No,Yes,4.3,301,St. Marks Road,Other,1200,Dine-out
13167,No,No,4.6,206,Indiranagar,Dessert Parlor,200,Desserts
7406,Yes,No,3.73178,0,Koramangala 1st Block,Quick Bites,350,Delivery
13959,Yes,No,4.1,786,BTM,Quick Bites,300,Delivery
1595,No,No,3.73178,0,BTM,Delivery,300,Delivery
24874,Yes,No,3.5,47,Marathahalli,Quick Bites,300,Delivery
7472,Yes,Yes,4.4,9041,Koramangala 4th Block,Other,600,Delivery
22678,Yes,No,3.8,169,Shanti Nagar,Quick Bites,250,Delivery
18560,Yes,No,4.2,195,Koramangala 6th Block,Dessert Parlor,400,Dine-out
5982,No,No,3.7,198,Whitefield,Casual Dining,700,Delivery
6612,Yes,No,3.4,54,"ITPL Main Road, Whitefield",Cafe,1000,Dine-out
31577,Yes,Yes,3.9,902,Whitefield,Casual Dining,900,Dine-out
8158,No,No,3.3,7,HSR,Casual Dining,450,Delivery
11142,No,No,3.73178,0,Frazer Town,"Takeaway, Delivery",150,Delivery
29564,Yes,Yes,4.4,726,MG Road,Other,1700,Dine-out
21456,Yes,No,4.0,190,BTM,Quick Bites,400,Delivery
31263,No,No,3.73178,0,Whitefield,Other,200,Delivery
13933,No,Yes,3.5,11,Jayanagar,Cafe,800,Cafes
26135,Yes,No,3.0,25,Indiranagar,Quick Bites,250,Delivery
8932,No,No,3.8,103,Koramangala 4th Block,Other,1500,Dine-out
12694,Yes,Yes,4.3,2039,MG Road,Casual Dining,1500,Delivery
31086,Yes,No,3.9,147,Whitefield,Other,600,Delivery
25366,No,Yes,4.7,7154,Marathahalli,Casual Dining,1400,Desserts
12660,Yes,No,3.6,31,Jeevan Bhima Nagar,Casual Dining,800,Delivery
11225,No,No,4.3,241,Frazer Town,Bakery,100,Desserts
482,Yes,No,3.6,14,Banashankari,Bakery,350,Desserts
31484,No,No,3.73178,0,Whitefield,Other,300,Desserts
772,No,No,3.6,22,Basavanagudi,Quick Bites,150,Dine-out
26701,Yes,No,3.9,260,Indiranagar,Casual Dining,650,Dine-out
28908,Yes,No,3.3,10,Rajajinagar,Casual Dining,600,Dine-out
28035,Yes,No,4.2,743,Indiranagar,Dessert Parlor,300,Desserts
31070,Yes,No,3.4,10,"Varthur Main Road, Whitefield",Quick Bites,250,Delivery
22532,No,No,3.7,32,Commercial Street,Casual Dining,800,Delivery
5391,No,No,3.73178,0,Cunningham Road,Cafe,1000,Dine-out
21255,No,Yes,3.9,596,Koramangala 5th Block,Other,1300,Dine-out
26570,No,Yes,4.2,275,Residency Road,Other,4000,Dine-out
3287,Yes,No,3.2,4,Sarjapur Road,Quick Bites,150,Delivery
15767,Yes,No,3.6,21,Jayanagar,Quick Bites,150,Dine-out
18303,Yes,Yes,4.4,460,Koramangala 7th Block,"Casual Dining, Bar",1500,Dine-out
20264,Yes,No,3.9,44,Koramangala 5th Block,Quick Bites,500,Delivery
30576,No,No,3.73178,0,Sarjapur Road,Quick Bites,400,Dine-out
31155,No,No,3.6,171,Whitefield,Casual Dining,800,Delivery
27442,Yes,Yes,4.5,2935,New BEL Road,Other,1200,Drinks & nightlife
27417,No,No,3.73178,0,Jalahalli,Quick Bites,100,Dine-out
15877,No,No,3.73178,0,HBR Layout,Cafe,200,Cafes
20585,No,No,3.5,16,BTM,Quick Bites,200,Dine-out
10628,Yes,No,3.1,30,Electronic City,Casual Dining,700,Dine-out
2232,Yes,No,4.6,143,Koramangala 5th Block,Delivery,500,Delivery
8917,Yes,No,4.2,556,Koramangala 5th Block,Quick Bites,400,Dine-out
28130,No,No,3.73178,0,Old Airport Road,Quick Bites,500,Dine-out
8591,Yes,No,3.3,12,BTM,Quick Bites,500,Dine-out
5804,No,No,3.73178,0,Brookefield,"Takeaway, Delivery",200,Delivery
28117,Yes,No,3.9,104,Old Airport Road,Quick Bites,500,Dine-out
31739,No,No,3.4,7,Whitefield,Casual Dining,600,Dine-out
25654,Yes,No,3.1,253,Marathahalli,Quick Bites,300,Dine-out
2784,No,No,2.8,33,Jayanagar,Casual Dining,500,Dine-out
29024,No,Yes,4.5,420,Race Course Road,Casual Dining,1200,Dine-out
8470,Yes,No,3.4,29,BTM,Casual Dining,750,Dine-out
3581,Yes,No,2.9,182,Bellandur,Casual Dining,800,Dine-out
14061,Yes,No,3.7,40,BTM,Quick Bites,300,Delivery
17074,No,No,4.5,1239,Kalyan Nagar,Other,900,Dine-out
3207,Yes,No,3.5,9,Sarjapur Road,Other,200,Delivery
2319,Yes,No,3.7,30,BTM,Other,150,Delivery
10352,No,No,3.1,5,Electronic City,Quick Bites,350,Delivery
17471,No,No,2.8,227,Koramangala 6th Block,Cafe,450,Cafes
24909,No,No,3.4,7,Marathahalli,"Takeaway, Delivery",200,Delivery
8610,Yes,No,3.8,61,BTM,Quick Bites,300,Dine-out
19542,Yes,No,4.0,76,Koramangala 1st Block,Bakery,500,Delivery
7107,Yes,No,4.1,888,Koramangala 3rd Block,Cafe,800,Delivery
1807,No,No,3.6,21,Bannerghatta Road,Casual Dining,600,Dine-out
27944,No,No,3.7,70,Jeevan Bhima Nagar,Quick Bites,200,Delivery
11163,No,No,3.8,41,Frazer Town,Bakery,500,Delivery
1864,Yes,No,3.5,9,Bannerghatta Road,Quick Bites,250,Dine-out
8966,Yes,No,4.0,684,Koramangala 5th Block,Quick Bites,250,Dine-out
16686,Yes,No,4.0,722,Kammanahalli,Cafe,1000,Dine-out
13094,No,No,3.7,70,Jeevan Bhima Nagar,Quick Bites,200,Delivery
26815,No,No,4.1,259,MG Road,"Casual Dining, Bar",500,Pubs and bars
22467,No,No,3.73178,0,Shivajinagar,Other,100,Delivery
21998,Yes,No,4.2,196,Koramangala 6th Block,Dessert Parlor,400,Dine-out
7397,Yes,No,3.6,64,Bommanahalli,Casual Dining,400,Delivery
12367,No,No,3.73178,0,Bommanahalli,Casual Dining,650,Dine-out
21859,No,No,3.3,4,Wilson Garden,Bakery,200,Desserts
7104,Yes,No,3.4,17,Koramangala 4th Block,Quick Bites,400,Delivery
29896,Yes,No,3.9,79,HSR,Quick Bites,300,Delivery
7640,Yes,No,3.9,77,Koramangala 7th Block,Dessert Parlor,800,Delivery
21950,No,Yes,4.1,822,Koramangala 4th Block,"Casual Dining, Bar",800,Dine-out
9758,Yes,No,4.2,116,MG Road,Other,500,Dine-out
3399,No,No,3.3,4,Sarjapur Road,Other,200,Delivery
24541,No,No,3.73178,0,Rajajinagar,Quick Bites,300,Dine-out
25669,Yes,No,3.0,47,Marathahalli,Quick Bites,400,Dine-out
9380,Yes,No,4.4,223,MG Road,Quick Bites,700,Delivery
3919,Yes,No,4.6,1193,Sarjapur Road,Other,1500,Pubs and bars
18229,Yes,No,4.1,65,Koramangala 4th Block,Other,700,Dine-out
21555,Yes,No,3.8,64,BTM,Quick Bites,300,Delivery
22094,Yes,No,3.4,25,Bannerghatta Road,Casual Dining,600,Dine-out
26919,Yes,No,4.1,498,New BEL Road,Quick Bites,300,Delivery
5564,Yes,Yes,4.3,840,Brookefield,Other,600,Buffet
3214,Yes,No,3.1,9,Marathahalli,Casual Dining,650,Delivery
17390,Yes,No,4.1,6914,Koramangala 5th Block,Casual Dining,750,Buffet
8676,Yes,No,3.7,63,BTM,Quick Bites,350,Dine-out
20791,No,Yes,4.0,1778,Domlur,Other,1600,Cafes
26060,Yes,No,3.9,100,Vasanth Nagar,Delivery,800,Delivery
14862,Yes,No,4.1,465,BTM,Cafe,500,Dine-out
18541,Yes,No,4.2,972,Koramangala 5th Block,Quick Bites,200,Dine-out
25377,Yes,No,4.0,174,Marathahalli,Dessert Parlor,350,Desserts
15232,Yes,No,4.1,130,BTM,Quick Bites,150,Delivery
31372,Yes,No,3.2,8,Whitefield,Other,600,Delivery
13634,No,No,3.6,12,Jeevan Bhima Nagar,Cafe,550,Dine-out
23304,Yes,No,3.4,63,Church Street,Quick Bites,400,Dine-out
29321,Yes,Yes,4.2,2859,Residency Road,Other,800,Delivery
29853,Yes,No,4.1,163,Bellandur,Other,400,Delivery
3181,Yes,No,4.1,248,Sarjapur Road,Casual Dining,800,Delivery
3757,No,No,3.73178,0,Bellandur,Other,200,Dine-out
9240,Yes,Yes,4.5,3130,Koramangala 5th Block,"Casual Dining, Bar",1500,Pubs and bars
30367,Yes,No,3.9,20,Sarjapur Road,Dessert Parlor,300,Desserts
28798,No,No,3.73178,0,West Bangalore,Other,300,Delivery
5460,No,No,3.8,617,MG Road,Other,3000,Drinks & nightlife
23768,Yes,No,3.9,20,Sanjay Nagar,Delivery,500,Delivery
10882,Yes,No,3.7,38,Electronic City,Quick Bites,400,Dine-out
27891,No,No,3.3,10,Indiranagar,Quick Bites,500,Delivery
13538,No,No,3.9,29,Indiranagar,Quick Bites,150,Dine-out
31495,No,No,3.3,4,Whitefield,"Takeaway, Delivery",600,Desserts
30495,No,No,2.6,53,Sarjapur Road,Other,500,Dine-out
18958,No,Yes,4.5,1995,Koramangala 5th Block,Other,1400,Drinks & nightlife
16777,No,No,3.73178,0,Kammanahalli,Quick Bites,250,Dine-out
21866,Yes,No,4.3,3468,Koramangala 7th Block,Casual Dining,600,Dine-out
10497,Yes,No,3.73178,0,Electronic City,Bakery,200,Desserts
8879,Yes,No,3.7,31,Koramangala 7th Block,Cafe,500,Dine-out
3616,No,No,3.5,28,Bellandur,Casual Dining,700,Dine-out
20235,No,No,2.7,61,Koramangala 6th Block,Quick Bites,500,Delivery
3541,No,No,3.6,10,Sarjapur Road,Bakery,300,Desserts
18356,Yes,No,4.1,845,Koramangala 6th Block,Casual Dining,700,Dine-out
23167,No,No,4.1,259,MG Road,"Casual Dining, Bar",500,Dine-out
1743,Yes,No,4.0,532,Bannerghatta Road,Casual Dining,800,Dine-out
23655,Yes,No,3.2,9,Malleshwaram,Other,500,Cafes
15987,Yes,No,3.9,42,Kammanahalli,Other,300,Delivery
16444,Yes,No,3.9,35,Kalyan Nagar,Delivery,500,Desserts
4950,No,No,3.9,2322,St. Marks Road,Casual Dining,700,Dine-out
22892,No,No,3.9,50,Residency Road,Dessert Parlor,600,Desserts
1675,No,No,3.73178,0,Bannerghatta Road,Dessert Parlor,400,Desserts
14353,Yes,No,3.7,32,Bannerghatta Road,Casual Dining,800,Delivery
119,No,No,3.3,17,Banashankari,Quick Bites,200,Delivery
9585,No,No,4.4,1899,Residency Road,Dessert Parlor,400,Desserts
11127,Yes,No,4.2,1208,Indiranagar,Cafe,600,Delivery
5047,Yes,No,4.1,459,Church Street,Cafe,700,Dine-out
4119,Yes,No,3.6,27,Vasanth Nagar,Quick Bites,300,Delivery
8256,No,No,3.9,41,BTM,Other,200,Desserts
25058,No,No,3.8,26,Thippasandra,Quick Bites,250,Delivery
